RESPONDENT_NUMBER,GENDER,AGE,FAVORITE_SUBJECT,FAVORITE_COLOR,HEIGHT,WEIGHT,GRADE_IN_MATH,GRADE_IN_STATISTICS_AND_PROBABILITY,GRADE_IN_SCIENCE,GRADE_IN_MEDIA_AND_INFORMATION_LITERACY
1,MALE,19,SCIENCE,BLUE,171,73,89,89,90,92
2,FEMALE,19,SCIENCE,YELLOW,154,48,95,94,91,97
3,MALE,19,SCIENCE,BLUE,165,60,,93,90,95
4,MALE,19,SCIENCE,BLUE,165,45,94,97,94,96
5,MALE,19,SCIENCE,RED,166,51,95,89,94,91
6,MALE,19,SCIENCE,BLUE,160,53,90,94,93,98
7,MALE,20,ENGLISH,YELLOW,162,60,85,87,85,93
8,MALE,19,SCIENCE,YELLOW,167,45,89,89,88,89
9,MALE,18,ENGLISH,BLUE,169,48,83,87,85,85
10,FEMALE,19,ENGLISH,RED,162,54,93,94,94,93
11,MALE,19,SCIENCE,BLUE,175,65,88,91,93,97
12,MALE,18,ENGLISH,GREEN,161,65,85,87,89,96
13,MALE,19,SCIENCE,BLUE,172,91,94,93,92,90
14,MALE,18,ENGLISH,BLUE,175,68,96,95,96,95
15,MALE,20,SCIENCE,YELLOW,173,75,87,95,90,97
16,MALE,20,MATH,BLUE,174,49,92,94,93,92
17,FEMALE,19,SCIENCE,BLUE,152,60,94,94,92,94
18,MALE,18,ENGLISH,BLUE,175,68,96,95,96,95
19,MALE,19,MATH,YELLOW,175,57,94,91,92,92
20,MALE,18,MATH,BLUE,176,58,92,95,90,94
21,FEMALE,18,MATH,BLUE,158,49,83,91,86,89
22,FEMALE,18,ENGLISH,YELLOW,156,43,85,88,95,95